,logged,day,location,model name,supply scenario,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,avg issuing age,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,129558.0,2.0508002042770386,739.0,21.0,0.0,21.0,42.0,0.0,42.0,453.0,58.0,179.0,32.0,129.0,14.0,26.0,5.0,10.0,12.0,85.0,148.0,208.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,10.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,16.0,7.0,13.0,2.0
1,1.0,1.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,166251.0,2.642104067839682,820.0,128.0,1.0,127.0,224.0,10.0,214.0,42.0,62.0,180.0,36.0,134.0,8.0,19.0,5.0,9.0,14.0,88.0,141.0,210.0,79.0,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,3.0,7.0,23.0,33.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,11.0,5.0,7.0,31.0,46.0,24.0,9.0
2,1.0,2.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,149037.0,3.0094019155949354,782.0,49.0,1.0,48.0,96.0,9.0,87.0,224.0,73.0,191.0,36.0,107.0,10.0,28.0,2.0,6.0,15.0,91.0,152.0,195.0,89.0,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,6.0,8.0,11.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,8.0,15.0,16.0,21.0,2.0
3,1.0,3.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,163533.0,2.020288701169193,814.0,35.0,1.0,34.0,74.0,9.0,65.0,96.0,81.0,185.0,45.0,113.0,10.0,12.0,1.0,6.0,15.0,88.0,144.0,206.0,72.0,1.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,3.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,1.0,5.0,10.0,11.0,2.0
4,1.0,4.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,194337.0,3.8858133060857654,882.0,46.0,0.0,46.0,92.0,0.0,92.0,74.0,87.0,191.0,48.0,103.0,6.0,10.0,1.0,7.0,13.0,85.0,136.0,219.0,73.0,2.3152173913043477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,9.0,12.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,13.0,20.0,13.0,15.0,4.0
5,1.0,5.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,222423.0,2.7318589063361287,944.0,177.0,2.0,175.0,321.0,18.0,303.0,92.0,97.0,204.0,41.0,89.0,0.0,9.0,1.0,12.0,14.0,81.0,133.0,225.0,77.0,2.7320872274143304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,0.0,9.0,0.0,8.0,9.0,3.0,15.0,33.0,42.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,10.0,0.0,12.0,14.0,3.0,25.0,47.0,67.0,32.0,22.0
6,1.0,6.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,173046.0,4.774755748920143,835.0,118.0,2.0,116.0,213.0,17.0,196.0,321.0,93.0,193.0,19.0,91.0,11.0,34.0,0.0,12.0,6.0,79.0,141.0,227.0,63.0,0.755868544600939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,11.0,0.0,11.0,16.0,2.0,20.0,29.0,32.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,12.0,0.0,12.0,19.0,2.0,27.0,37.0,49.0,29.0,6.0
7,1.0,7.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,162174.0,4.611627819947898,811.0,149.0,0.0,149.0,260.0,0.0,260.0,213.0,97.0,216.0,18.0,65.0,10.0,40.0,0.0,7.0,8.0,74.0,143.0,228.0,59.0,0.9923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,8.0,14.0,6.0,13.0,36.0,36.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,8.0,17.0,6.0,19.0,57.0,45.0,32.0,13.0
8,1.0,8.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,123669.0,4.057521919719875,726.0,49.0,0.0,49.0,86.0,0.0,86.0,260.0,106.0,206.0,15.0,77.0,5.0,36.0,1.0,7.0,12.0,81.0,129.0,231.0,59.0,0.7558139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,7.0,6.0,17.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0,8.0,11.0,20.0,11.0,11.0
9,1.0,9.0,London_19,3years_LHD,1Lon_19,151,453,1092.0,70.0,2.0,132729.0,7.367744207382202,746.0,59.0,2.0,57.0,118.0,19.0,99.0,86.0,112.0,217.0,17.0,61.0,7.0,34.0,1.0,4.0,12.0,81.0,133.0,227.0,66.0,1.4830508474576272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,5.0,14.0,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,0.0,4.0,4.0,3.0,7.0,22.0,16.0,13.0,6.0
