,logged,day,location,model name,supply scenario,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,avg issuing age,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,122310.0,0.38144329469650984,723.0,25.0,0.0,25.0,43.0,0.0,43.0,453.0,61.0,166.0,36.0,128.0,13.0,40.0,5.0,4.0,9.0,73.0,152.0,219.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,5.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,2.0,1.0,5.0,14.0,4.0,7.0
1,1.0,1.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,158097.0,1.4145967150107026,802.0,133.0,1.0,132.0,224.0,10.0,214.0,43.0,62.0,167.0,37.0,123.0,13.0,42.0,5.0,4.0,11.0,74.0,158.0,210.0,83.0,0.9553571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,0.0,7.0,8.0,5.0,13.0,31.0,30.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,9.0,0.0,7.0,11.0,5.0,18.0,42.0,38.0,33.0,12.0
2,1.0,2.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,139071.0,2.583885969594121,760.0,48.0,0.0,48.0,86.0,0.0,86.0,224.0,71.0,180.0,40.0,95.0,13.0,41.0,2.0,11.0,12.0,90.0,151.0,200.0,89.0,1.3488372093023255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,2.0,4.0,3.0,2.0,7.0,9.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,1.0,0.0,3.0,6.0,3.0,2.0,12.0,16.0,21.0,7.0
3,1.0,3.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,161268.0,2.640134402550757,809.0,35.0,1.0,34.0,74.0,9.0,65.0,86.0,79.0,188.0,37.0,84.0,14.0,40.0,2.0,9.0,9.0,89.0,155.0,200.0,86.0,2.554054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,4.0,8.0,8.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,2.0,3.0,5.0,11.0,12.0,15.0,7.0
4,1.0,4.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,194337.0,3.7672503357753158,882.0,56.0,0.0,56.0,93.0,0.0,93.0,74.0,89.0,173.0,35.0,89.0,15.0,39.0,3.0,10.0,8.0,93.0,150.0,202.0,70.0,2.204301075268817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,5.0,7.0,4.0,12.0,12.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,12.0,6.0,10.0,4.0,18.0,18.0,12.0,8.0
5,1.0,5.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,208380.0,3.0399972731247544,913.0,176.0,2.0,174.0,319.0,17.0,302.0,93.0,101.0,164.0,39.0,83.0,14.0,40.0,2.0,10.0,12.0,94.0,149.0,198.0,76.0,2.413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,18.0,7.0,11.0,15.0,32.0,41.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,21.0,9.0,13.0,22.0,49.0,61.0,19.0,28.0
6,1.0,6.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,173046.0,2.425752379000187,835.0,115.0,2.0,113.0,215.0,19.0,196.0,319.0,109.0,164.0,26.0,100.0,17.0,28.0,5.0,4.0,8.0,68.0,165.0,212.0,55.0,0.7627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,1.0,4.0,0.0,8.0,11.0,11.0,8.0,24.0,27.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,5.0,13.0,1.0,1.0,4.0,0.0,10.0,16.0,13.0,10.0,34.0,41.0,35.0,16.0
7,1.0,7.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,159003.0,2.733990576118231,804.0,146.0,0.0,146.0,260.0,0.0,260.0,215.0,122.0,177.0,12.0,80.0,18.0,35.0,5.0,4.0,10.0,66.0,158.0,219.0,65.0,1.1307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,11.0,0.0,3.0,4.0,2.0,3.0,29.0,35.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,12.0,0.0,3.0,5.0,3.0,4.0,39.0,49.0,42.0,12.0
8,1.0,8.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,123669.0,1.7410437231883407,726.0,51.0,0.0,51.0,85.0,0.0,85.0,260.0,124.0,157.0,15.0,81.0,26.0,40.0,1.0,9.0,11.0,64.0,156.0,222.0,61.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,5.0,6.0,1.0,11.0,13.0,13.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,7.0,8.0,1.0,13.0,20.0,21.0,20.0,4.0
9,1.0,9.0,London_11,3years_LHD,1Lon_11,151,453,1092.0,70.0,2.0,133635.0,3.810648993588984,748.0,56.0,2.0,54.0,123.0,23.0,100.0,85.0,130.0,150.0,21.0,92.0,21.0,37.0,0.0,2.0,13.0,67.0,158.0,215.0,68.0,1.6341463414634145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,5.0,0.0,10.0,5.0,4.0,8.0,12.0,15.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,7.0,8.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,5.0,0.0,11.0,7.0,8.0,9.0,18.0,25.0,16.0,16.0
