,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD k,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients SCD s,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other k,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched patients Other s,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD k,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units SCD s,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other k,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S,num mismatched units Other s
0,1.0,0.0,London_81,,151,453,1092.0,70.0,2.0,171234.0,0.46033829683437943,831.0,103.0,0.0,103.0,177.0,0.0,177.0,453.0,52.0,182.0,35.0,113.0,17.0,45.0,0.0,9.0,9.0,77.0,149.0,218.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,28.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,6.0,13.0,18.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,6.0,18.0,22.0,11.0,8.0
1,1.0,1.0,London_81,,151,453,1092.0,70.0,2.0,163533.0,0.6010664929635823,814.0,70.0,0.0,70.0,114.0,0.0,114.0,103.0,58.0,178.0,30.0,116.0,16.0,45.0,0.0,10.0,11.0,72.0,157.0,213.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,7.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,17.0,8.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,23.0,11.0,13.0,4.0
2,1.0,2.0,London_81,,151,453,1092.0,70.0,2.0,168969.0,0.7550499401986599,826.0,137.0,2.0,135.0,236.0,17.0,219.0,82.0,60.0,181.0,30.0,111.0,16.0,45.0,2.0,8.0,12.0,72.0,161.0,208.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,6.0,21.0,2.0,21.0,0.0,2.0,0.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,6.0,13.0,23.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,6.0,18.0,33.0,18.0,8.0
3,1.0,3.0,London_81,,151,453,1092.0,70.0,2.0,128652.0,0.7751446559559554,737.0,123.0,0.0,123.0,211.0,0.0,211.0,156.0,63.0,164.0,31.0,126.0,15.0,46.0,1.0,7.0,11.0,65.0,162.0,215.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,11.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,10.0,18.0,20.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,15.0,29.0,27.0,15.0,11.0
4,1.0,4.0,London_81,,151,453,1092.0,70.0,2.0,98754.0,1.4676729869097471,671.0,10.0,2.0,8.0,33.0,17.0,16.0,184.0,65.0,165.0,26.0,119.0,19.0,45.0,1.0,13.0,14.0,71.0,175.0,193.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0
5,1.0,5.0,London_81,,151,453,1092.0,70.0,2.0,126840.0,0.6157005680724978,733.0,52.0,1.0,51.0,94.0,10.0,84.0,33.0,61.0,169.0,22.0,122.0,18.0,46.0,2.0,13.0,14.0,66.0,170.0,203.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,8.0,11.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,8.0,15.0,18.0,4.0,3.0
6,1.0,6.0,London_81,,151,453,1092.0,70.0,2.0,144507.0,0.7114731259644032,772.0,112.0,2.0,110.0,196.0,16.0,180.0,82.0,64.0,173.0,23.0,122.0,17.0,42.0,3.0,9.0,13.0,69.0,179.0,192.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,15.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,4.0,5.0,2.0,5.0,15.0,16.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,4.0,5.0,2.0,7.0,17.0,22.0,18.0,5.0
7,1.0,7.0,London_81,,151,453,1092.0,70.0,2.0,127746.0,0.40446740482002497,735.0,48.0,2.0,46.0,97.0,19.0,78.0,149.0,63.0,169.0,32.0,132.0,13.0,39.0,2.0,3.0,11.0,74.0,172.0,196.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,6.0,10.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,6.0,14.0,16.0,11.0,0.0
8,1.0,8.0,London_81,,151,453,1092.0,70.0,2.0,157644.0,0.5102009659167379,801.0,64.0,0.0,64.0,117.0,0.0,117.0,86.0,65.0,166.0,37.0,129.0,9.0,37.0,4.0,6.0,9.0,79.0,164.0,201.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,14.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,10.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,16.0,14.0,7.0,2.0
9,1.0,9.0,London_81,,151,453,1092.0,70.0,2.0,172593.0,1.0065359249711037,834.0,40.0,0.0,40.0,66.0,0.0,66.0,75.0,63.0,166.0,35.0,128.0,12.0,35.0,5.0,9.0,11.0,78.0,174.0,190.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,5.0,0.0
