,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_12,final_tar,151,453,1092.0,70.0,2.0,164892.0,0.4966725208796561,817.0,149.0,2.0,147.0,281.0,17.0,264.0,453.0,55.0,187.0,31.0,129.0,7.0,30.0,3.0,11.0,10.0,72.0,167.0,204.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,1.0,5.0,23.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,11.0,1.0,8.0,36.0,48.0,25.0
1,1.0,1.0,London_12,final_tar,151,453,1092.0,70.0,2.0,135900.0,0.45325086172670126,753.0,35.0,0.0,35.0,56.0,0.0,56.0,281.0,44.0,173.0,32.0,142.0,9.0,42.0,2.0,9.0,9.0,82.0,152.0,210.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,8.0,16.0,3.0
2,1.0,2.0,London_12,final_tar,151,453,1092.0,70.0,2.0,156738.0,0.57578962482512,799.0,87.0,1.0,86.0,161.0,9.0,152.0,56.0,50.0,166.0,35.0,139.0,9.0,42.0,3.0,9.0,11.0,80.0,147.0,215.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,6.0,1.0,2.0,10.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,2.0,10.0,1.0,3.0,14.0,36.0,26.0
3,1.0,3.0,London_12,final_tar,151,453,1092.0,70.0,2.0,158097.0,0.6893370626494288,802.0,119.0,2.0,117.0,223.0,19.0,204.0,161.0,48.0,157.0,36.0,147.0,14.0,38.0,4.0,9.0,8.0,83.0,149.0,213.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,4.0,3.0,5.0,28.0,31.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,9.0,4.0,6.0,44.0,46.0,26.0
4,1.0,4.0,London_12,final_tar,151,453,1092.0,70.0,2.0,132729.0,0.5495905191637576,746.0,18.0,0.0,18.0,28.0,0.0,28.0,223.0,61.0,167.0,35.0,117.0,13.0,46.0,4.0,10.0,10.0,90.0,153.0,200.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,6.0,3.0,5.0
5,1.0,5.0,London_12,final_tar,151,453,1092.0,70.0,2.0,158550.0,0.6358064562082291,803.0,118.0,0.0,118.0,203.0,0.0,203.0,28.0,64.0,163.0,37.0,114.0,15.0,45.0,4.0,11.0,10.0,94.0,153.0,196.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,4.0,11.0,22.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,6.0,4.0,13.0,33.0,56.0,24.0
6,1.0,6.0,London_12,final_tar,151,453,1092.0,70.0,2.0,144507.0,0.5396540532819927,772.0,60.0,1.0,59.0,103.0,10.0,93.0,203.0,72.0,147.0,33.0,123.0,16.0,48.0,6.0,8.0,13.0,103.0,135.0,202.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,6.0,10.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,10.0,13.0,16.0,12.0
7,1.0,7.0,London_12,final_tar,151,453,1092.0,70.0,2.0,160815.0,1.575306158978492,808.0,129.0,2.0,127.0,234.0,20.0,214.0,103.0,72.0,152.0,27.0,127.0,15.0,46.0,5.0,9.0,12.0,96.0,150.0,195.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,11.0,4.0,12.0,11.0,24.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,1.0,15.0,4.0,17.0,16.0,41.0,49.0,46.0
8,1.0,8.0,London_12,final_tar,151,453,1092.0,70.0,2.0,125481.0,0.5184582360088825,730.0,95.0,0.0,95.0,175.0,0.0,175.0,234.0,77.0,150.0,34.0,118.0,20.0,42.0,3.0,9.0,9.0,98.0,147.0,199.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,3.0,19.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,6.0,2.0,5.0,36.0,34.0,37.0
9,1.0,9.0,London_12,final_tar,151,453,1092.0,70.0,2.0,115968.0,0.5265629449859262,709.0,23.0,2.0,21.0,57.0,18.0,39.0,175.0,77.0,150.0,30.0,118.0,24.0,36.0,5.0,13.0,12.0,95.0,126.0,220.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,10.0,6.0
