,logged,day,location,model name,avg daily demand,inventory size,test days,init days,gurobi status,nvars,calc time,ncons,num patients,num SCD patients,num Other patients,num units requested,num units requested SCD,num units requested Other,num supplied products,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,num Fya-Fyb- in inventory,num Fya+Fyb- in inventory,num Fya-Fyb+ in inventory,num Fya+Fyb+ in inventory,num R0 in inventory,num outdates,num outdates O-,num outdates O+,num outdates A-,num outdates A+,num outdates B-,num outdates B+,num outdates AB-,num outdates AB+,num shortages,num shortages O-,num shortages O+,num shortages A-,num shortages A+,num shortages B-,num shortages B+,num shortages AB-,num shortages AB+,num shortages SCD,num shortages Other,num mismatched patients SCD A,num mismatched patients SCD B,num mismatched patients SCD D,num mismatched patients SCD C,num mismatched patients SCD c,num mismatched patients SCD E,num mismatched patients SCD e,num mismatched patients SCD K,num mismatched patients SCD Fya,num mismatched patients SCD Fyb,num mismatched patients SCD Jka,num mismatched patients SCD Jkb,num mismatched patients SCD M,num mismatched patients SCD N,num mismatched patients SCD S,num mismatched patients Other A,num mismatched patients Other B,num mismatched patients Other D,num mismatched patients Other C,num mismatched patients Other c,num mismatched patients Other E,num mismatched patients Other e,num mismatched patients Other K,num mismatched patients Other Fya,num mismatched patients Other Fyb,num mismatched patients Other Jka,num mismatched patients Other Jkb,num mismatched patients Other M,num mismatched patients Other N,num mismatched patients Other S,num mismatched units SCD A,num mismatched units SCD B,num mismatched units SCD D,num mismatched units SCD C,num mismatched units SCD c,num mismatched units SCD E,num mismatched units SCD e,num mismatched units SCD K,num mismatched units SCD Fya,num mismatched units SCD Fyb,num mismatched units SCD Jka,num mismatched units SCD Jkb,num mismatched units SCD M,num mismatched units SCD N,num mismatched units SCD S,num mismatched units Other A,num mismatched units Other B,num mismatched units Other D,num mismatched units Other C,num mismatched units Other c,num mismatched units Other E,num mismatched units Other e,num mismatched units Other K,num mismatched units Other Fya,num mismatched units Other Fyb,num mismatched units Other Jka,num mismatched units Other Jkb,num mismatched units Other M,num mismatched units Other N,num mismatched units Other S
0,1.0,0.0,London_95,cons,151,453,1092.0,70.0,2.0,174405.0,0.5084337801672518,842.0,154.0,3.0,151.0,265.0,26.0,239.0,453.0,57.0,179.0,29.0,126.0,11.0,39.0,3.0,9.0,10.0,87.0,162.0,194.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,8.0,9.0,13.0,23.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,10.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,6.0,12.0,10.0,17.0,36.0,48.0,25.0
1,1.0,1.0,London_95,cons,151,453,1092.0,70.0,2.0,145413.0,0.4246601928025484,778.0,56.0,0.0,56.0,102.0,0.0,102.0,263.0,84.0,200.0,18.0,111.0,7.0,28.0,1.0,4.0,13.0,91.0,156.0,193.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,3.0,6.0,0.0,12.0,13.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,1.0,6.0,8.0,0.0,16.0,19.0,19.0,20.0
2,1.0,2.0,London_95,cons,151,453,1092.0,70.0,2.0,151302.0,0.4403542559593916,791.0,75.0,2.0,73.0,148.0,19.0,129.0,104.0,90.0,190.0,22.0,113.0,8.0,28.0,0.0,2.0,14.0,83.0,170.0,186.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,12.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,7.0,5.0,0.0,7.0,17.0,29.0,26.0
3,1.0,3.0,London_95,cons,151,453,1092.0,70.0,2.0,155832.0,0.4321077633649111,801.0,131.0,0.0,131.0,231.0,0.0,231.0,142.0,105.0,184.0,16.0,105.0,8.0,31.0,1.0,3.0,14.0,79.0,171.0,189.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,3.0,1.0,2.0,10.0,10.0,4.0,14.0,19.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,3.0,1.0,3.0,11.0,12.0,6.0,19.0,30.0,39.0,23.0
4,1.0,4.0,London_95,cons,151,453,1092.0,70.0,2.0,140430.0,0.38631502306088805,767.0,73.0,0.0,73.0,118.0,0.0,118.0,212.0,117.0,177.0,26.0,91.0,7.0,24.0,2.0,9.0,18.0,81.0,165.0,189.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,3.0,8.0,6.0,5.0,13.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,1.0,4.0,11.0,7.0,8.0,18.0,20.0,21.0
5,1.0,5.0,London_95,cons,151,453,1092.0,70.0,2.0,144960.0,0.3921926962211728,777.0,55.0,0.0,55.0,111.0,0.0,111.0,120.0,130.0,173.0,25.0,77.0,6.0,27.0,3.0,12.0,17.0,84.0,176.0,176.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,2.0,4.0,9.0,5.0,4.0,6.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,2.0,8.0,14.0,7.0,4.0,9.0,28.0,11.0
6,1.0,6.0,London_95,cons,151,453,1092.0,70.0,2.0,157191.0,0.41902572102844715,804.0,42.0,1.0,41.0,82.0,12.0,70.0,109.0,133.0,181.0,21.0,66.0,5.0,34.0,2.0,11.0,17.0,84.0,178.0,174.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,9.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,9.0,3.0,14.0,18.0,14.0,17.0
7,1.0,7.0,London_95,cons,151,453,1092.0,70.0,2.0,176217.0,0.48894082102924585,846.0,80.0,1.0,79.0,145.0,9.0,136.0,82.0,136.0,177.0,22.0,61.0,4.0,40.0,2.0,11.0,13.0,87.0,171.0,182.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,3.0,6.0,5.0,13.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,3.0,9.0,8.0,18.0,21.0,23.0
8,1.0,8.0,London_95,cons,151,453,1092.0,70.0,2.0,178482.0,0.5394878890365362,851.0,135.0,2.0,133.0,240.0,18.0,222.0,146.0,145.0,175.0,24.0,64.0,3.0,35.0,1.0,6.0,12.0,94.0,143.0,204.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0,2.0,9.0,1.0,8.0,9.0,15.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,9.0,21.0,0.0,2.0,3.0,10.0,1.0,10.0,10.0,19.0,46.0,16.0
9,1.0,9.0,London_95,cons,151,453,1092.0,70.0,2.0,155832.0,0.47108842711895704,801.0,141.0,0.0,141.0,252.0,0.0,252.0,214.0,144.0,181.0,17.0,72.0,5.0,23.0,2.0,9.0,12.0,82.0,150.0,209.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,5.0,0.0,16.0,0.0,2.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,6.0,18.0,10.0,6.0,7.0,32.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,3.0,8.0,21.0,12.0,8.0,8.0,46.0,38.0,35.0
